Experiment,Code_ID,Variety_ID,Tnight.1,Tnight.2,Tnight.3,Ri.1,Ri.2,Ri.3,Psi.2,Psi.3,Tmax.1,Tmax.2,Tmax.3,grain.number
Cam12R,3067,AS5707,20.93056029,19.95386302,19.11795358,125.24,449.35,1068.165,-77.36538462,-12.83950617,37.04833661,36.49998667,33.2635718,527.2026086
Cam12W,3067,AS5707,20.93056029,19.66134315,19.24957663,125.24,352.926,1176.392,-23.21212121,-18.96264368,37.04833661,36.35577091,33.41484696,1195.812536
Cam13R,3067,AS5707,22.49375518,20.07749217,14.58298066,215.091,280.65,805.623,-64.22727273,-16.23484848,36.33117366,35.47272412,25.05548506,1431.683118
Cam13W,3067,AS5707,22.49375518,20.6096178,14.72388731,215.091,189.447,896.826,-20.20833333,-37.38194444,36.33117366,35.65311985,25.49209679,2122.366978
Cra12R,3067,AS5707,19.93193444,23.15941012,19.9680024,244.997,258.821,888.819,-94.675,-10.43181818,35.34914311,35.72734217,32.61112569,591.3504733
Cra12W,3067,AS5707,19.93193444,23.10457471,20.239677,244.997,212.247,947.731,-45.765625,-18.02884615,35.34914311,35.51325024,33.01981389,1676.541426
Deb12R,3067,AS5707,20.2848874,18.87693595,17.32922578,257.174,197.268,944.291,-56.89473684,-132.8333333,35.75463809,32.27822458,30.21003033,1706.337158
Deb12W,3067,AS5707,20.2848874,18.57512578,17.48751343,257.174,175.113,1004.961,-22.52083333,-40.36458333,35.75463809,31.96015674,30.47794733,1783.08584
Deb13R,3067,AS5707,16.83774886,19.88356671,13.29684701,278.517,189.178,721.734,-93.23333333,-43.73958333,30.64635531,34.00144372,25.24534203,3633.356727
Gai12W,3067,AS5707,17.98664403,18.97175439,16.90298847,415.639,257.568,895.194,-19.68421053,-8.635416667,26.57895497,28.23368454,25.26104143,4180.171775
Gai13R,3067,AS5707,17.37871393,20.55950991,15.67405021,371.094,191.913,650.121,-71.4691358,-36.44444444,31.23014884,34.75937649,27.83747009,2592.013885
Gai13W,3067,AS5707,17.37871393,21.23936989,15.86931903,371.094,218.052,768.184,-11.21428571,-7.301587302,31.23014884,35.73421627,28.11097402,3537.451913
Gra13R,3067,AS5707,15.64142536,15.52572727,13.04604683,469.841,447.008,1197.798,-207.9433333,-40.99393939,38.03564293,37.20501933,32.94801252,2478.735392
Kar12R,3067,AS5707,16.44371499,16.18821425,13.0876057,371.431,244.063,731.516,-26.01683375,-23.76696073,29.20533615,31.02234699,25.9840496,4689.419072
Kar12W,3067,AS5707,16.44371499,16.11781692,13.22852709,371.431,234.427,791.381,-23.01842758,-24.50647583,29.20533615,30.76784279,26.24333283,4032.714408
Kar13R,3067,AS5707,16.26644157,19.76770833,13.51279784,410.738,171.659,834.106,-75.2188447,-40.78490657,29.09437748,33.85315868,24.07387343,5331.076587
Kar13W,3067,AS5707,16.26644157,19.76770833,13.52924844,410.738,192.603,834.106,-102.6664559,-30.29742397,29.09437748,33.85315868,23.98290082,4313.290754
Mar13R,3067,AS5707,16.52115079,18.87105263,16.00880699,368.186,261.307,1149.047,-206.4385868,-165.4726266,31.53322705,35.08239331,30.19087409,2629.780459
Mar13W,3067,AS5707,16.52115079,18.51666667,16.54863496,368.186,195.02,1212.951,-114.7594871,-94.99806332,31.53322705,34.82866016,30.9389502,3262.928115
Mur13R,3067,AS5707,17.39387346,21.62789683,14.25142877,428.072,270.691,846.573,-135.4642857,-157.2555556,33.22004382,36.09353188,27.3892918,3211.696764
Mur13W,3067,AS5707,17.39387346,21.42966667,15.32720726,428.072,225.609,930.625,-32.925,-21.30612245,33.22004382,35.59757463,28.61717129,3464.792513
Ner12R,3067,AS5707,17.17820617,18.58574879,16.97441664,289.705,340.405,836.68,-208.4402174,-218.505303,34.77434963,36.97856533,33.02634542,2549.527056
Ner12W,3067,AS5707,17.17820617,18.31861111,17.14987785,289.705,236.832,902.897,-65.75833333,-104.9267241,34.77434963,36.7181411,33.32057204,3682.029474
Ner13R,3067,AS5707,19.09018182,19.17231241,15.0546986,404.272,368.276,698.846,-178.4315476,-59.375,34.5580631,35.28520428,29.42766513,2006.149113
Ner13W,3067,AS5707,19.09018182,20.21790404,15.2518966,404.272,242.182,878.545,-38.33541667,-26.97199454,34.5580631,35.59382541,30.09467973,3762.731258
